Accession ID,Longitude,Latitude,Elevation,Annual mean UVB,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
88,0.683333,47.4,79,1890,11.72083378,8.775000572,37.66094589,557.8019409,25.39999962,2.099999905,23.29999924,5.966666698,18.81666565,18.81666565,5.25,677,68,39,14.84282017,195,137,137,192
108,-4.06667,48.5167,92,1805,11.10000038,6.416666508,37.74509811,392.5383606,20.79999924,3.799999952,17,7.566666603,15.98333359,16.13333321,6.700000286,1091,132,49,31.80493355,387,166,193,371
139,-4.06667,48.5167,92,1805,11.10000038,6.416666508,37.74509811,392.5383606,20.79999924,3.799999952,17,7.566666603,15.98333359,16.13333321,6.700000286,1091,132,49,31.80493355,387,166,193,371
159,3.93333,47.35,402,1916,9.420833588,7.858333111,32.74305725,597.4622803,22.89999962,-1.100000024,24,3.283333302,5.25,16.89999962,2.216666698,851,80,60,10.34553719,233,188,210,219
265,-1.16667,44.65,27,2267,12.9958334,9.491666794,41.99852371,484.0006409,25.20000076,2.599999905,22.60000038,8.016666412,18.93333435,19.03333282,7.316666603,946,114,43,27.33828163,321,157,186,291
350,4.11667,46.6667,251,2013,10.72083282,9.175000191,35.56201553,621.583252,25.39999962,-0.400000006,25.79999924,16.68333244,6.666666508,18.56666565,3.283333302,774,79,47,16.01896477,217,152,217,174
351,4.11667,46.6667,251,2013,10.72083282,9.175000191,35.56201553,621.583252,25.39999962,-0.400000006,25.79999924,16.68333244,6.666666508,18.56666565,3.283333302,774,79,47,16.01896477,217,152,217,174
403,16.2667,49.3667,422,1781,7.804166794,8.408333778,30.24580383,742.3563843,23.10000038,-4.699999809,27.79999924,16.85000038,0.01666672,16.85000038,-1.350000024,533,82,24,44.10128784,218,76,218,78
410,16.3497,49.4211,382,1781,7.941666603,8.199999809,30.03663063,736.2276001,22.89999962,-4.400000095,27.29999924,15.41666698,0.199999973,16.89999962,-1.149999976,522,80,23,44.33189011,213,74,213,75
424,16.2815,49.4112,499,1781,7.395833492,8.241666794,30.07907486,733.8084106,22.5,-4.900000095,27.39999962,16.35000038,-0.300000012,16.35000038,-1.633333325,560,85,26,42.74531555,226,82,226,85
428,16.232,49.403,506,1803,7.345833302,8.358333588,30.28381729,733.6535645,22.60000038,-5,27.60000038,16.29999924,-0.366666675,16.29999924,-1.683333397,560,84,26,42.54829407,226,82,226,85
430,15.5,47,365,1973,9.016666412,9.699999809,32.01319885,776.8828735,24.70000076,-5.599999905,30.30000114,18.39999962,-0.74999994,18.39999962,-0.74999994,843,124,25,47.95933533,357,97,357,97
470,-87.735,40.8313,196,2471,10.16666698,11.58333302,29.32489395,1029.93457,29.70000076,-9.800000191,39.5,20.31666756,-3.216666698,22.31666565,-3.216666698,978,104,40,27.2586441,311,152,299,152
476,-87.735,40.8313,196,2471,10.16666698,11.58333302,29.32489395,1029.93457,29.70000076,-9.800000191,39.5,20.31666756,-3.216666698,22.31666565,-3.216666698,978,104,40,27.2586441,311,152,299,152
484,-87.735,40.8313,196,2471,10.16666698,11.58333302,29.32489395,1029.93457,29.70000076,-9.800000191,39.5,20.31666756,-3.216666698,22.31666565,-3.216666698,978,104,40,27.2586441,311,152,299,152
504,-87.735,40.8313,196,2471,10.16666698,11.58333302,29.32489395,1029.93457,29.70000076,-9.800000191,39.5,20.31666756,-3.216666698,22.31666565,-3.216666698,978,104,40,27.2586441,311,152,299,152
506,-87.735,40.8313,196,2471,10.16666698,11.58333302,29.32489395,1029.93457,29.70000076,-9.800000191,39.5,20.31666756,-3.216666698,22.31666565,-3.216666698,978,104,40,27.2586441,311,152,299,152
531,-87.735,40.8313,196,2471,10.16666698,11.58333302,29.32489395,1029.93457,29.70000076,-9.800000191,39.5,20.31666756,-3.216666698,22.31666565,-3.216666698,978,104,40,27.2586441,311,152,299,152
544,-73.2089,40.9076,16,2417,11.1833334,9.099999428,27.99999809,862.0518188,27.70000076,-4.800000191,32.5,9.466666222,19.18333435,21.73333359,0.550000072,1092,103,76,9.034885406,299,259,261,261
